"habitat","mean","impact"
"suspension_reef",0.00601027742070364,"sst"
"surface_waters",0.0309304357929158,"sst"
"s_t_s_bottom",0.00802352476270721,"sst"
"soft_slope",0.0308494248976512,"sst"
"soft_shelf",0.0166954149259371,"sst"
"seamounts",0.0329685192837962,"sst"
"seagrass",0.0332540944306156,"sst"
"salt_marsh",0.00601027742070364,"sst"
"rocky_reef",0.0395969275099843,"sst"
"rky_intidal",0.00601027742070364,"sst"
"mangroves",0.0150311391144282,"sst"
"kelp",0.016941819503481,"sst"
"inttidalmud",0.00601027742070364,"sst"
"ice",0.0305071946209925,"sst"
"ice",-0.00160865627480992,"sst"
"hard_slope",0.0394813924615993,"sst"
"hard_shelf",0.0470476730571613,"sst"
"d_s_benthic",0.0317795939709311,"sst"
"d_h_bottom",0.0302156463186002,"sst"
"deep_waters",0.0309304357929158,"sst"
"coral_reef",0.0389426045536257,"sst"
"beach",0.00601027742070364,"sst"
